iyear,imonth,iday,country,country_txt,region,region_txt,provstate,city,latitude,longitude,attacktype1,attacktype1_txt,targtype1,targtype1_txt,natlty1,natlty1_txt,gname,weaptype1,weaptype1_txt,nkill,propextent,propextent_txt
1972,2,22,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,4,Hijacking,6,Airports & Aircraft,75.0,Germany,Palestinians,6,Explosives,0.0,,
1975,1,2,92,India,6,South Asia,Bihar,Samastipur,25.863042,85.781004,3,Bombing/Explosion,2,Government (General),92.0,India,Ananda Marga,6,Explosives,4.0,,
1976,5,26,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,3,Bombing/Explosion,6,Airports & Aircraft,92.0,India,Unknown,6,Explosives,0.0,,
1977,9,28,92,India,6,South Asia,Maharashtra,Bombay,19.075984,72.877656,4,Hijacking,6,Airports & Aircraft,101.0,Japan,Japanese Red Army (JRA),5,Firearms,0.0,,
1979,1,13,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,2,Armed Assault,3,Police,92.0,India,Naga People,5,Firearms,0.0,4.0,Unknown
1979,1,14,92,India,6,South Asia,Manipur,Imphal,24.798346,93.94043,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,3.0,,
1979,4,26,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,2,Armed Assault,3,Police,92.0,India,Meitei extremists,5,Firearms,4.0,4.0,Unknown
1979,6,14,92,India,6,South Asia,Mizoram,Unknown,23.164543,92.937574,1,Assassination,2,Government (General),92.0,India,Mizo National Front,5,Firearms,1.0,,
1979,7,1,92,India,6,South Asia,Assam,Unknown,26.200604,92.937574,2,Armed Assault,2,Government (General),92.0,India,Mizo National Front,5,Firearms,2.0,4.0,Unknown
1979,7,2,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,7,Facility/Infrastructure Attack,3,Police,92.0,India,Mizo National Front,13,Unknown,0.0,4.0,Unknown
1979,7,2,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,7,Facility/Infrastructure Attack,16,Telecommunication,92.0,India,Mizo National Front,13,Unknown,0.0,4.0,Unknown
1979,8,8,92,India,6,South Asia,Andhra Pradesh,Amapur,16.435329,77.831725,9,Unknown,14,Private Citizens & Property,92.0,India,Mizo National Front,13,Unknown,1.0,4.0,Unknown
1979,8,19,92,India,6,South Asia,Unknown,Raisikah,,,2,Armed Assault,3,Police,92.0,India,Mizo National Front,5,Firearms,1.0,4.0,Unknown
1979,8,20,92,India,6,South Asia,Mizoram,Champhai,23.469545,93.337934,2,Armed Assault,3,Police,92.0,India,Mizo National Front,5,Firearms,1.0,,
1979,8,25,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,1,Assassination,2,Government (General),92.0,India,Mizo National Front,5,Firearms,1.0,,
1979,8,26,92,India,6,South Asia,Jharkhand,Jamshedpur,22.804567,86.202875,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Muslims,6,Explosives,1.0,4.0,Unknown
1979,8,27,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,2,Armed Assault,2,Government (General),92.0,India,Mizo National Front,5,Firearms,1.0,4.0,Unknown
1979,8,27,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,2,Armed Assault,3,Police,92.0,India,Mizo National Front,5,Firearms,1.0,,
1979,8,29,92,India,6,South Asia,Jharkhand,Jamshedpur,22.804567,86.202875,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Muslims,6,Explosives,3.0,4.0,Unknown
1979,9,8,92,India,6,South Asia,Tamil Nadu,Chennai,13.08268,80.270718,3,Bombing/Explosion,19,Transportation,92.0,India,Naxalites,6,Explosives,3.0,3.0,Minor (likely < $1 million)
1979,9,22,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,2,Armed Assault,3,Police,92.0,India,People's Liberation Army (India),5,Firearms,4.0,,
1979,12,5,92,India,6,South Asia,Uttar Pradesh,Unknown,26.846709,80.946159,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,0.0,,
1979,12,12,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,1,Assassination,2,Government (General),92.0,India,Maoists,13,Unknown,1.0,,
1979,12,20,92,India,6,South Asia,Bihar,Unknown,25.096074,85.313119,2,Armed Assault,3,Police,92.0,India,Naxalites,5,Firearms,3.0,4.0,Unknown
1980,1,1,92,India,6,South Asia,Manipur,Imphal,24.798346,93.94043,1,Assassination,2,Government (General),92.0,India,Maoists,13,Unknown,1.0,,
1980,1,9,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,2,Armed Assault,2,Government (General),92.0,India,Maoists,5,Firearms,2.0,4.0,Unknown
1980,3,21,92,India,6,South Asia,Unknown,Chiaplant,,,1,Assassination,8,Educational Institution,92.0,India,Mizo National Front,5,Firearms,1.0,,
1980,3,21,92,India,6,South Asia,Uttar Pradesh,Tindol,25.410833,78.739167,2,Armed Assault,12,NGO,92.0,India,Mizo National Front,8,Incendiary,4.0,,
1980,4,4,92,India,6,South Asia,West Bengal,Calcutta,22.551729,88.352341,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,2.0,,
1980,4,25,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1,Assassination,14,Private Citizens & Property,92.0,India,Unknown,5,Firearms,1.0,,
1980,8,27,92,India,6,South Asia,Tamil Nadu,Tirupattur,12.492222,78.567778,3,Bombing/Explosion,3,Police,92.0,India,Naxalites,6,Explosives,6.0,,
1980,11,8,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,21,Utilities,92.0,India,Unknown,6,Explosives,0.0,,
1980,12,13,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
1980,12,19,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,4.0,Unknown
1981,1,15,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,9,Unknown,3,Police,92.0,India,Unknown,13,Unknown,6.0,4.0,Unknown
1981,1,28,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,4,Military,92.0,India,Anti-Immigrant extremists,6,Explosives,0.0,4.0,Unknown
1981,2,13,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,21,Utilities,92.0,India,Anti-Immigrant extremists,6,Explosives,0.0,4.0,Unknown
1981,3,18,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,2,Government (General),92.0,India,Unknown,6,Explosives,0.0,,
1981,4,5,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,21,Utilities,92.0,India,Unknown,6,Explosives,0.0,,
1981,4,6,92,India,6,South Asia,Assam,Jorhat,26.75602,94.20945,1,Assassination,2,Government (General),92.0,India,Unknown,6,Explosives,1.0,,
1981,4,27,92,India,6,South Asia,Nagaland,Unknown,26.158435,94.562443,1,Assassination,2,Government (General),92.0,India,Insurgents,5,Firearms,3.0,,
1981,6,14,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Unknown,6,Explosives,0.0,,
1981,7,24,92,India,6,South Asia,Unknown,Unknown,,,3,Bombing/Explosion,19,Transportation,92.0,India,Extremists,6,Explosives,0.0,,
1981,8,15,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,People's Liberation Army (India),6,Explosives,0.0,4.0,Unknown
1981,8,15,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,3,Bombing/Explosion,19,Transportation,92.0,India,Dissident,6,Explosives,0.0,4.0,Unknown
1981,9,1,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,9,Unknown,2,Government (General),92.0,India,Unknown,13,Unknown,9.0,4.0,Unknown
1981,9,15,92,India,6,South Asia,Gujarat,Massad,21.214186,73.243362,1,Assassination,4,Military,92.0,India,Unknown,13,Unknown,1.0,,
1981,9,29,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,4,Hijacking,6,Airports & Aircraft,92.0,India,Sikh Extremists,5,Firearms,0.0,,
1981,10,16,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,1,Assassination,2,Government (General),92.0,India,Sikh Extremists,5,Firearms,1.0,,
1981,11,29,92,India,6,South Asia,Chandigarh,Chandigarh,30.733315,76.779418,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,Unknown,6,Explosives,3.0,4.0,Unknown
1982,2,19,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,9,Unknown,4,Military,92.0,India,Secessionists,13,Unknown,20.0,4.0,Unknown
1982,6,4,92,India,6,South Asia,West Bengal,Unknown,22.986757,87.854975,9,Unknown,22,Violent Political Party,92.0,India,Naxalites,13,Unknown,6.0,4.0,Unknown
1982,6,9,92,India,6,South Asia,Assam,Gauhati,26.149794,91.763931,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,Unknown,6,Explosives,19.0,,
1982,6,14,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1,Assassination,7,Government (Diplomatic),106.0,Kuwait,Unknown,5,Firearms,1.0,,
1982,6,15,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,1,Assassination,2,Government (General),92.0,India,Unknown,5,Firearms,1.0,,
1982,6,20,92,India,6,South Asia,Mizoram,Unknown,23.164543,92.937574,1,Assassination,20,Unknown,92.0,India,Mizo National Front,5,Firearms,4.0,,
